# index, label, _pos
330,2202_i,"array([ 8.2678198 , -2.01884482])"
331,14808_w,"array([ 8.17655381, -2.5009771 ])"
332,270609_w,"array([ 7.9628903 , -2.41604101])"
333,270672_w,"array([ 8.66928667, -1.44871114])"
334,270813_w,"array([ 8.35601522, -1.65055406])"
335,292680_w,"array([ 8.72428732, -1.94393759])"
336,292751_w,"array([ 7.11349899, -2.63896127])"
337,292821_w,"array([ 8.53990888, -1.5798673 ])"
338,316002_w,"array([ 8.83660799, -1.78117552])"
339,40580_w,"array([ 8.09985412, -2.37948913])"
340,476559_w,"array([ 8.76778301, -1.60659427])"
341,67221_w,"array([ 8.58255249, -1.77538489])"
342,22122_i,"array([2.3417488 , 1.70480777])"
343,2229_i,"array([ 4.1441615 , -7.00974853])"
344,40817_w,"array([ 3.35944417, -6.48666253])"
345,447795_w,"array([ 4.73863651, -6.8724433 ])"
346,22365_i,"array([ 5.53493077, -5.00106586])"
347,2257_i,"array([ 4.65565532, -7.17081654])"
348,313833_w,"array([ 4.06174045, -7.51832546])"
349,561446_w,"array([ 4.5572931 , -6.60608579])"
350,22605_i,"array([ 3.93209743, -1.78752593])"
351,243479_w,"array([ 3.35612526, -0.68204544])"
352,256899_w,"array([ 4.8005539 , -3.12221983])"
353,299302_w,"array([ 3.74417546, -1.31595045])"
354,324795_w,"array([ 3.50496732, -1.59420226])"
355,629526_w,"array([ 3.5448686 , -1.38252962])"
356,2284_i,"array([ 3.77255988, -7.38398469])"
357,19794_w,"array([ 2.84442046, -7.39165684])"
358,531418_w,"array([ 2.93149264, -7.12259923])"
359,23088_i,"array([ 4.23531438, -7.42162089])"
360,299160_w,"array([ 3.34456976, -7.53705025])"
361,492712_w,"array([ 4.22721235, -7.71262915])"
362,561780_w,"array([ 4.02879404, -6.97170799])"
363,2312_i,"array([-2.82266682, -0.96783575])"
364,318443_w,"array([-2.69083183, -0.76423985])"
365,2339_i,"array([ 0.9491236 , -1.18898873])"
366,318525_w,"array([ 0.68367974, -0.99487431])"
367,379560_w,"array([ 1.26699396, -1.50975997])"
368,2365_i,"array([ 7.21097812, -0.78362379])"
369,405481_w,"array([ 7.16004403, -1.31486464])"
370,23831_i,"array([ 6.70561195, -2.61362488])"
371,382113_w,"array([ 6.61985529, -3.36211562])"
372,2393_i,"array([ 3.67746293, -5.60607635])"
373,269128_w,"array([ 4.31919747, -5.80236183])"
374,23_i,"array([ 6.31294983, -6.37503852])"
375,1050_w,"array([ 6.74330826, -6.30821831])"
376,115390_w,"array([ 5.92980018, -5.03931766])"
377,210517_w,"array([ 6.68032409, -6.17594701])"
378,237441_w,"array([ 6.24094249, -6.00077056])"
379,242329_w,"array([ 6.40033675, -5.93374629])"
380,252440_w,"array([ 7.20734409, -6.57645036])"
381,254360_w,"array([ 6.56231213, -6.17011423])"
382,270006_w,"array([ 6.89219254, -6.32528996])"
383,279968_w,"array([ 5.80515608, -6.1911494 ])"
384,286483_w,"array([ 5.95362924, -6.08351445])"
385,300113_w,"array([ 6.93819012, -6.47620029])"
386,305903_w,"array([ 6.37207357, -6.07519971])"
387,317273_w,"array([ 6.82194509, -6.58193162])"
388,317357_w,"array([ 6.08416577, -6.24918564])"
389,317440_w,"array([ 6.80806427, -6.16412988])"
390,317521_w,"array([ 6.0864791 , -5.97006799])"
391,317604_w,"array([ 6.6173767 , -6.35610339])"
392,32931_w,"array([ 6.33586614, -5.80645097])"
393,369325_w,"array([ 6.12516568, -6.11033668])"
394,376381_w,"array([ 6.8731137 , -5.68285459])"
395,377658_w,"array([ 6.44363303, -6.42116233])"
396,412292_w,"array([ 7.15428984, -6.38155762])"
397,421909_w,"array([ 5.73519446, -6.06203154])"
398,424184_w,"array([ 6.54175379, -6.04423332])"
399,437185_w,"array([ 7.4088664 , -6.58552545])"
400,448881_w,"array([ 5.94319603, -6.28944833])"
401,488377_w,"array([ 6.92805265, -6.18964594])"
402,490955_w,"array([ 6.90297808, -6.02496144])"
403,525371_w,"array([ 6.54780568, -5.58704812])"
404,597157_w,"array([ 7.05512667, -6.46227044])"
405,600766_w,"array([ 7.15671855, -6.23004113])"
406,614671_w,"array([ 7.10896728, -5.40284022])"
407,625404_w,"array([ 6.54716288, -6.50848153])"
408,627206_w,"array([ 5.48742835, -6.82770087])"
409,68839_w,"array([ 6.75282357, -5.81172148])"
410,693349_w,"array([ 6.68562189, -6.50480576])"
411,7519_w,"array([ 6.80479605, -6.43742498])"
412,2418_i,"array([ 5.40476041, -5.16517074])"
413,481965_w,"array([ 5.15990488, -5.23803807])"
414,8822_w,"array([ 4.88539435, -4.59997952])"
415,2445_i,"array([ -0.43580583, -13.800721  ])"
416,24571_i,"array([ 7.68061953, -1.45071444])"
417,299373_w,"array([ 7.60759347, -0.9149849 ])"
418,299443_w,"array([ 7.81207801, -0.85221248])"
419,51600_w,"array([ 7.57005592, -2.14331922])"
420,592884_w,"array([ 7.7517384 , -2.08041561])"
421,245_i,"array([ 5.50676683, -4.78789828])"
422,2473_i,"array([-3.72877678, -1.39930005])"
423,319971_w,"array([-3.96082832, -1.46006958])"
424,24803_i,"array([ 7.87299223, -6.16354776])"
425,2500_i,"array([ -2.24508569, -11.26315416])"
426,298776_w,"array([ -2.43081144, -11.02635945])"
427,2529_i,"array([ -2.68055117, -10.67293288])"
428,293213_w,"array([ -2.44102101, -10.53477898])"
429,321051_w,"array([ -2.86563304, -10.87840653])"
430,590714_w,"array([ -2.95237345, -10.31305751])"
431,25503_i,"array([ 1.13443079, -4.55708518])"
432,304251_w,"array([ 2.09771427, -4.60120778])"
433,304331_w,"array([ 0.58722907, -4.54209288])"
434,304436_w,"array([ 0.73059859, -4.27606068])"
435,304679_w,"array([ 0.79614201, -4.50485201])"
436,304759_w,"array([ 0.7424592 , -4.76819443])"
437,2556_i,"array([ 4.51268937, -7.77048442])"
438,244529_w,"array([ 4.33877037, -8.36628899])"
439,398587_w,"array([ 4.98010421, -8.25165425])"
440,25731_i,"array([ 6.47483892, -8.3003363 ])"
441,116987_w,"array([ 6.37823488, -7.82078793])"
442,193912_w,"array([ 6.43537232, -7.32427815])"
443,195080_w,"array([ 6.39927809, -7.93791884])"
444,241701_w,"array([ 6.570963  , -7.25505564])"
445,242541_w,"array([ 5.95517988, -7.13274119])"
446,252823_w,"array([ 6.42464361, -9.20773988])"
447,298632_w,"array([ 6.99753504, -9.08549717])"
448,304517_w,"array([ 6.85522599, -9.1415559 ])"
449,313239_w,"array([ 6.57469566, -9.23359609])"
450,319384_w,"array([ 6.92551181, -8.75431055])"
451,332196_w,"array([ 5.84527601, -7.70872664])"
