# index, label, _pos
424,316343_w,"array([-0.91146302, -6.23278024])"
425,316425_w,"array([-1.18185938, -5.2749652 ])"
426,318865_w,"array([-1.64759196, -5.2053033 ])"
427,320314_w,"array([-1.06009289, -5.68561696])"
428,325106_w,"array([-0.91490643, -5.33507987])"
429,325189_w,"array([-1.02546325, -5.48738833])"
430,329586_w,"array([-0.74292313, -5.49570161])"
431,334818_w,"array([-0.81302885, -5.57799098])"
432,368028_w,"array([-1.12790335, -5.91319089])"
433,37444_w,"array([-0.85120171, -5.45521252])"
434,37698_w,"array([-1.42512685, -5.50669281])"
435,45144_w,"array([-1.02915331, -5.37232689])"
436,530869_w,"array([-1.99865029, -5.68810411])"
437,533777_w,"array([-1.65085935, -5.60552787])"
438,559343_w,"array([-1.40132679, -5.30418804])"
439,57133_w,"array([-1.06091714, -5.57150727])"
440,594711_w,"array([-0.96875572, -5.62443925])"
441,595645_w,"array([-1.20470963, -5.52641853])"
442,60097_w,"array([-1.41257436, -5.60925112])"
443,607534_w,"array([-1.14947673, -6.00841381])"
444,628248_w,"array([-1.10237358, -5.77889021])"
445,66761_w,"array([-0.97952942, -5.76365507])"
446,74759_w,"array([-1.15049093, -5.61268974])"
447,92109_w,"array([-1.3195904 , -5.12340932])"
448,26792_i,"array([  2.57210556, -11.28261347])"
449,18539_w,"array([  2.69868393, -11.43311707])"
450,524023_w,"array([  2.3815291, -11.3124641])"
451,69051_w,"array([  2.67157345, -11.11054497])"
452,26922_i,"array([-0.89341307, -5.09206541])"
453,279265_w,"array([-1.30776476, -5.48883789])"
454,71808_w,"array([-0.55661266, -4.79348313])"
455,27049_i,"array([-7.81668644, -3.35915801])"
456,1042_w,"array([-8.02363198, -3.30953662])"
457,27421_i,"array([-1.21578821, -8.10709007])"
458,27540_i,"array([-1.26761835, -5.89797986])"
459,155653_w,"array([-1.23734568, -5.41279583])"
460,27664_i,"array([-1.51909394, -6.49770452])"
461,113695_w,"array([-1.82621907, -6.46482548])"
462,135151_w,"array([-0.87897465, -6.79601715])"
463,256622_w,"array([-1.84026061, -6.58573461])"
464,268577_w,"array([-1.51269999, -6.37973963])"
465,277049_w,"array([-1.19858968, -6.47262491])"
466,310705_w,"array([-1.62590923, -5.39452702])"
467,321711_w,"array([-1.20610843, -7.50583099])"
468,331982_w,"array([-1.6318823 , -6.34279174])"
469,389733_w,"array([-1.93807809, -6.57659171])"
470,506337_w,"array([-1.74038019, -6.56892488])"
471,519935_w,"array([-2.07228556, -6.36552739])"
472,524808_w,"array([-2.0841489 , -6.18897607])"
473,556291_w,"array([-1.41551982, -6.31719804])"
474,577840_w,"array([-1.55110092, -6.97572561])"
475,27790_i,"array([ 5.51701074, -3.20257854])"
476,701433_w,"array([ 5.39664966, -3.07705242])"
477,27909_i,"array([-2.25376746, -6.27141942])"
478,12830_w,"array([-1.44355922, -6.72270837])"
479,17789_w,"array([-2.3400423 , -5.55769575])"
480,313396_w,"array([-2.70167484, -6.53971703])"
481,35552_w,"array([-2.5406712, -6.3246535])"
482,555093_w,"array([-1.61381404, -5.80651128])"
483,571825_w,"array([-2.108591  , -6.27584726])"
484,27933_i,"array([-1.42221884, -5.82183425])"
485,106736_w,"array([-2.24241414, -6.86911134])"
486,226048_w,"array([-0.97443882, -5.21382437])"
487,28058_i,"array([ 2.920101  , -0.42518566])"
488,199883_w,"array([ 2.96699013, -0.86759633])"
489,24516_w,"array([ 2.65958407, -0.57916235])"
490,326604_w,"array([ 2.50442039, -0.5570755 ])"
491,326685_w,"array([ 2.91733887, -0.73482924])"
492,326767_w,"array([ 2.57197398, -0.69023264])"
493,326847_w,"array([ 3.13510264, -0.22321281])"
494,326953_w,"array([ 2.8135516 , -0.84745427])"
495,327033_w,"array([2.84070043, 0.00780123])"
496,327113_w,"array([ 3.33445802, -0.59692739])"
497,327192_w,"array([ 3.02625196, -0.12521529])"
498,327433_w,"array([ 2.69729202, -0.0349828 ])"
