# source, target, direction, screens, assays, database, reference, exp_direct, exp_indirect, comment
2325,1190,ad->db,"Screen_1,Screen_2,","Cen X Cen,",DroID;BioGrid;mentha;FlyBase;DIP;IntAct,14605208;FBrf0235788,MI:0397;MI:1112;MI:0018,None,FBrf0235788 is part of FlyBi data
2327,300,ad->db,"Screen_4,","Cen X 2u,",BioGrid;DIP;DroID;FlyBase;IntAct;mentha,14605208;FBrf0218395;22036573,MI:0397;MI:0018;MI:0727,MI:0943;MI:0004;MI:0046,None
2328,189,ad->db,"Screen_4,","Cen X 2u,",None,None,None,None,None
2329,171,ad->db,"Screen_3,","Cen X 2u,",None,None,None,None,None
2329,189,ad->db,"Screen_3,","Cen X 2u,",None,None,None,None,None
2329,246,ad->db,"Screen_3,","Cen X 2u,",None,None,None,None,None
2329,85,ad->db,"Screen_3,Screen_4,","Cen X 2u,",None,None,None,None,None
2329,107,ad->db,"Screen_4,","Cen X 2u,",None,None,None,None,None
2329,51,ad->db,"Screen_4,","Cen X 2u,",None,None,None,None,None
2330,292,ad->db,"Screen_4,","Cen X 2u,",None,None,None,None,None
2331,681,both,"Screen_3,","Cen X 2u,",BioGrid;DroID;IntAct;mentha,14605208,MI:0018,None,None
2334,91,ad->db,"Screen_3,","Cen X 2u,",None,None,None,None,None
2334,94,ad->db,"Screen_4,","Cen X 2u,",None,None,None,None,None
2335,2336,ad->db,"Screen_3,","Cen X 2u,",None,None,None,None,None
2335,1893,ad->db,"Screen_3,","Cen X 2u,",None,None,None,None,None
2335,1154,ad->db,"Screen_3,","Cen X 2u,",None,None,None,None,None
2335,76,ad->db,"Screen_3,","Cen X 2u,",None,None,None,None,None
2335,936,ad->db,"Screen_3,Screen_4,","Cen X 2u,",None,None,None,None,None
2335,726,ad->db,"Screen_3,Screen_4,","Cen X 2u,",BioGrid;DIP;DroID;IntAct;mentha,14605208,MI:0018,None,None
2335,396,ad->db,"Screen_3,Screen_4,","Cen X 2u,",None,None,None,None,None
2335,358,ad->db,"Screen_4,","Cen X 2u,",None,None,None,None,None
2335,27,ad->db,"Screen_4,","Cen X 2u,",BioGrid;DIP;DroID;IntAct;mentha,14605208,MI:0018,None,None
2337,2070,ad->db,"Screen_4,","Cen X 2u,",None,None,None,None,None
2338,517,ad->db,"Screen_3,","Cen X 2u,",None,None,None,None,None
2339,188,ad->db,"Screen_3,","Cen X 2u,",None,None,None,None,None
2340,443,ad->db,"Screen_3,","Cen X 2u,",None,None,None,None,None
2341,2119,ad->db,"Screen_1,","Cen X Cen,",DroID;FlyBase;IntAct;mentha,FBrf0235788,MI:0018;MI:0397;MI:1112,None,FBrf0235788 is part of FlyBi data
2341,883,ad->db,"Screen_3,","Cen X 2u,",None,None,None,None,None
2342,86,ad->db,"Screen_4,","Cen X 2u,",None,None,None,None,None
2342,1745,ad->db,"Screen_4,","Cen X 2u,",None,None,None,None,None
2342,1520,ad->db,"Screen_4,","Cen X 2u,",None,None,None,None,None
2343,133,ad->db,"Screen_4,","Cen X 2u,",None,None,None,None,None
2344,46,ad->db,"Screen_4,","Cen X 2u,",None,None,None,None,None
2345,664,ad->db,"Screen_1,","Cen X Cen,",DroID;FlyBase;IntAct;mentha,FBrf0235788,MI:0018;MI:0397;MI:1112,None,FBrf0235788 is part of FlyBi data
2346,782,ad->db,"Screen_3,","Cen X 2u,",None,None,None,None,None
2346,750,ad->db,"Screen_3,","Cen X 2u,",None,None,None,None,None
2346,760,ad->db,"Screen_3,","Cen X 2u,",None,None,None,None,None
2346,317,ad->db,"Screen_3,","Cen X 2u,",None,None,None,None,None
2346,182,ad->db,"Screen_3,Screen_4,","Cen X 2u,",None,None,None,None,None
2346,1175,ad->db,"Screen_3,Screen_4,","Cen X 2u,",None,None,None,None,None
2346,2347,ad->db,"Screen_3,Screen_4,","Cen X 2u,",None,None,None,None,None
2346,2348,ad->db,"Screen_3,Screen_4,","Cen X 2u,",None,None,None,None,None
2346,801,ad->db,"Screen_3,Screen_4,","Cen X 2u,",None,None,None,None,None
2346,621,ad->db,"Screen_4,","Cen X 2u,",None,None,None,None,None
2346,2349,ad->db,"Screen_4,","Cen X 2u,",None,None,None,None,None
2346,779,ad->db,"Screen_4,","Cen X 2u,",None,None,None,None,None
2346,780,ad->db,"Screen_4,","Cen X 2u,",None,None,None,None,None
2346,193,ad->db,"Screen_4,","Cen X 2u,",None,None,None,None,None
