# index, name, _pos
457,PDC,"array([38.0986673 , -1.08867893])"
458,PGA,"array([40.16003948, -0.3680693 ])"
459,CA01,"array([-13.70582364,  14.11738523])"
460,CA02,"array([50.96372829, -7.15608469])"
461,CA03,"array([45.16147892, -6.47377689])"
462,CA04,"array([39.12663475,  0.56446651])"
463,CA05,"array([41.28948845, -4.38285714])"
464,CA06,"array([44.12619051, -4.16323887])"
465,CA07,"array([36.76873244, -3.29412389])"
466,CA08,"array([39.8026397, -6.4538324])"
467,CA09,"array([34.04104983, -1.92206198])"
468,CP01,"array([44.6973693 , -1.64796811])"
469,CP02,"array([43.76710336, -0.80742735])"
470,CP03,"array([43.92772698, -1.57051365])"
471,CP04,"array([43.2908615 , -4.82236325])"
472,CP05,"array([42.40376209, -4.49000508])"
473,CP06,"array([43.47574068, -3.49731438])"
474,CP07,"array([39.43029134, -2.42026382])"
475,CP08,"array([39.53338776, -0.58649072])"
476,CP09,"array([39.37821187, -1.27146322])"
477,dglL1,"array([ 2.13047569e-02, -2.24047045e+01])"
478,dglL2,"array([ 57.78414529, -36.26987329])"
479,dglL3,"array([77.7679405 , -1.06093548])"
480,dglL4,"array([49.16274196, 26.69667882])"
481,dglL5,"array([-7.00872325, 25.43303962])"
482,dglL6,"array([ 48.603548 , -50.5097011])"
483,dglL7,"array([ 27.42327186, -44.16344517])"
484,dglR1,"array([83.79579785,  6.96832513])"
485,dglR2,"array([ -2.51429102, -11.17986434])"
486,dglR3,"array([-11.86917222,  -0.85146782])"
487,dglR4,"array([-0.66518905, 20.24536676])"
488,dglR5,"array([  4.7481663 , -37.70094148])"
489,dglR6,"array([54.17227283, 29.44735406])"
490,dglR7,"array([-1.21691661, -0.15537951])"
491,dglR8,"array([ 3.0251161 , 16.95108825])"
492,aobL,"array([-5.81075484,  9.40794069])"
493,aobR,"array([20.16671033, 24.55555386])"
494,pobL,"array([-0.96574366, 10.54481559])"
495,pobR,"array([ -3.39219346, -36.15237261])"
496,gecL,"array([ 20.56937078, -52.61757998])"
497,gecR,"array([  9.30640963, -41.6560606 ])"
498,grtL,"array([33.17090585, 34.18868693])"
499,grtR,"array([ 63.41726425, -37.97890753])"
500,cdlL,"array([57.79870582, 32.92536555])"
501,cdlR,"array([ 52.87633224, -55.32600267])"
502,ailL,"array([-2.80318297, -5.68514689])"
503,ailR,"array([-10.05851541,   4.0468603 ])"
504,pilL,"array([62.50174334, 30.24375843])"
505,pilR,"array([70.20494007, 16.92240674])"
506,polL,"array([-14.49573248, -26.12926682])"
507,polR,"array([51.50469592, 41.39863738])"
508,dspL,"array([12.59141828, 36.36262283])"
509,dspR,"array([ 64.34848194, -48.76474421])"
510,vspL,"array([65.23387529, 20.80682776])"
511,vspR,"array([ 42.86293214, -51.86799329])"
512,dsrL,"array([-6.61546682, -0.95928126])"
513,dsrR,"array([-5.80626985, 19.88177025])"
